Airpuff,,,,,,,,
Subject, Session, Airpuff, US_delivery, FrameNum,TRUE,multiplier,Estimated,difference
CSE022,20230225, Airpuff, pre,6832,6833,,6833,1
CSE022,20230225, Airpuff, pre,9805,,,9806,
CSE022,20230225, Airpuff, pre,12681,,,12682,
CSE022,20230225, Airpuff, pre,15601,15603,,15603,2
CSE022,20230225, Airpuff, during,21350,,,21352,
CSE022,20230225, Airpuff, during,22388,,,22390,
CSE022,20230225, Airpuff, during,24432,24434,,24434,2
CSE022,20230225, Airpuff, during,28292,28296,,28300,4
CSE022,20230225, Airpuff, during,30282,,,30286,
CSE022,20230225, Airpuff, post,33153,33158,,33158,5
CSE022,20230225, Airpuff, post,34132,,,34137,
CSE022,20230225, Airpuff, post,35151,,,35156,
CSE022,20230225, Airpuff, post,37190,37196,,37196,6
,,,,,,,,
Sucrose,,,,,,,,
Subject, Session, Sucrose, US_delivery, FrameNum,,,,
CSE022,20230225, Sucrose, pre,954,956,,956,2
CSE022,20230225, Sucrose, pre,1975,,,1977,
CSE022,20230225, Sucrose, pre,3007,,,3009,
CSE022,20230225, Sucrose, pre,3971,,,3973,
CSE022,20230225, Sucrose, pre,4933,,,4935,
CSE022,20230225, Sucrose, pre,5931,,,5933,
CSE022,20230225, Sucrose, pre,7839,,,7841,
CSE022,20230225, Sucrose, pre,8800,8803,,8803,3
CSE022,20230225, Sucrose, pre,10826,,,10829,
CSE022,20230225, Sucrose, pre,11750,,,11753,
CSE022,20230225, Sucrose, pre,13667,,,13670,
CSE022,20230225, Sucrose, pre,14674,,,14677,
CSE022,20230225, Sucrose, pre,16550,16554,,16554,4
CSE022,20230225, Sucrose, pre,17559,,,17563,
CSE022,20230225, Sucrose, pre,18459,,,18463,
CSE022,20230225, Sucrose, pre,19480,,,19484,
CSE022,20230225, Sucrose, during,23395,,,23399,
CSE022,20230225, Sucrose, during,25406,25411,,25411,5
CSE022,20230225, Sucrose, during,27344,,,27349,
CSE022,20230225, Sucrose, during,31274,,,31279,
CSE022,20230225, Sucrose, post,32203,,,32208,
CSE022,20230225, Sucrose, post,36145,,,36150,
CSE022,20230225, Sucrose, post,38126,,,38131,
CSE022,20230225, Sucrose, post,39030,39036,,39036,6
CSE022,20230225, Sucrose, post,39976,,,39982,
CSE022,20230225, Sucrose, post,40913,,,40919,
CSE022,20230225, Sucrose, post,41918,,,41924,
CSE022,20230225, Sucrose, post,42895,,,42902,
CSE022,20230225, Sucrose, post,43834,,,43841,
CSE022,20230225, Sucrose, post,44819,,,44826,
CSE022,20230225, Sucrose, post,45748,,,45755,
CSE022,20230225, Sucrose, post,47620,47628,,47628,8
CSE022,20230225, Sucrose, post,50699,,,50707,
CSE022,20230225, Sucrose, post,51605,,,51613,
CSE022,20230225, Sucrose, post,52648,,,52656,
CSE022,20230225, Sucrose, post,53560,,,53568,
CSE022,20230225, Sucrose, post,55519,,,55528,
CSE022,20230225, Sucrose, post,57433,,,57442,
CSE022,20230225, Sucrose, post,58423,58432,,58432,9
